@relation DATASET_BW

@attribute New-Identifiers-words-AVG numeric
@attribute New-Identifiers-words-MIN numeric
@attribute New-Abstractness-words-AVG numeric
@attribute New-Abstractness-words-MAX numeric
@attribute New-Abstractness-words-MIN numeric
@attribute New-Commented-words-AVG numeric
@attribute New-Commented-words-MAX numeric
@attribute New-Synonym-commented-words-AVG numeric
@attribute New-Synonym-commented-words-MAX numeric
@attribute New-Comments-readability numeric
@attribute New-Number-of-senses-AVG numeric
@attribute New-Number-of-senses-MAX numeric
@attribute New-Semantic-Text-Coherence-Standard-@-0.1 numeric
@attribute New-Semantic-Text-Coherence-Normalized-@-0.3 numeric
@attribute New-Text-Coherence-AVG numeric
@attribute New-Text-Coherence-MIN numeric
@attribute New-Text-Coherence-MAX numeric
@attribute BW-Avg-Assignment numeric
@attribute BW-Avg-blank-lines numeric
@attribute BW-Avg-commas numeric
@attribute BW-Avg-comments numeric
@attribute BW-Avg-comparisons numeric
@attribute BW-Avg-Identifiers-Length numeric
@attribute BW-Avg-conditionals numeric
@attribute BW-Avg-indentation-length numeric
@attribute BW-Avg-keywords numeric
@attribute BW-Avg-line-length numeric
@attribute BW-Avg-loops numeric
@attribute BW-Avg-number-of-identifiers numeric
@attribute BW-Avg-numbers numeric
@attribute BW-Avg-operators numeric
@attribute BW-Avg-parenthesis numeric
@attribute BW-Avg-periods numeric
@attribute BW-Avg-spaces numeric
@attribute BW-Max-Identifiers-Length numeric
@attribute BW-Max-indentation numeric
@attribute BW-Max-keywords numeric
@attribute BW-Max-line-length numeric
@attribute BW-Max-number-of-identifiers numeric
@attribute BW-Max-numbers numeric
@attribute BW-Max-char numeric
@attribute BW-Max-words numeric
@attribute Posnett-entropy numeric
@attribute Posnett-volume numeric
@attribute Posnett-lines numeric
@attribute Dorn-DFT-Assignments numeric
@attribute Dorn-DFT-Commas numeric
@attribute Dorn-DFT-Comments numeric
@attribute Dorn-DFT-Comparisons numeric
@attribute Dorn-DFT-Conditionals numeric
@attribute Dorn-DFT-Indentations numeric
@attribute Dorn-DFT-Keywords numeric
@attribute Dorn-DFT-LineLengths numeric
@attribute Dorn-DFT-Loops numeric
@attribute Dorn-DFT-Identifiers numeric
@attribute Dorn-DFT-Numbers numeric
@attribute Dorn-DFT-Operators numeric
@attribute Dorn-DFT-Parenthesis numeric
@attribute Dorn-DFT-Periods numeric
@attribute Dorn-DFT-Spaces numeric
@attribute Dorn-Visual-X-Comments numeric
@attribute Dorn-Visual-Y-Comments numeric
@attribute Dorn-Visual-X-Identifiers numeric
@attribute Dorn-Visual-Y-Identifiers numeric
@attribute Dorn-Visual-X-Keywords numeric
@attribute Dorn-Visual-Y-Keywords numeric
@attribute Dorn-Visual-X-Numbers numeric
@attribute Dorn-Visual-Y-Numbers numeric
@attribute Dorn-Visual-X-Strings numeric
@attribute Dorn-Visual-Y-Strings numeric
@attribute Dorn-Visual-X-Literals numeric
@attribute Dorn-Visual-Y-Literals numeric
@attribute Dorn-Visual-X-Operators numeric
@attribute Dorn-Visual-Y-Operators numeric
@attribute Dorn-Areas-Comments numeric
@attribute Dorn-Areas-Identifiers numeric
@attribute Dorn-Areas-Keywords numeric
@attribute Dorn-Areas-Numbers numeric
@attribute Dorn-Areas-Strings numeric
@attribute Dorn-Areas-Literals numeric
@attribute Dorn-Areas-Operators numeric
@attribute Dorn-Areas-Identifiers/Comments numeric
@attribute Dorn-Areas-Keywords/Comments numeric
@attribute Dorn-Areas-Numbers/Comments numeric
@attribute Dorn-Areas-Strings/Comments numeric
@attribute Dorn-Areas-Literals/Comments numeric
@attribute Dorn-Areas-Operators/Comments numeric
@attribute Dorn-Areas-Keywords/Identifiers numeric
@attribute Dorn-Areas-Numbers/Identifiers numeric
@attribute Dorn-Areas-Strings/Identifiers numeric
@attribute Dorn-Areas-Literals/Identifiers numeric
@attribute Dorn-Areas-Operators/Identifiers numeric
@attribute Dorn-Areas-Numbers/Keywords numeric
@attribute Dorn-Areas-Strings/Keywords numeric
@attribute Dorn-Areas-Literals/Keywords numeric
@attribute Dorn-Areas-Operators/Keywords numeric
@attribute Dorn-Areas-Strings/Numbers numeric
@attribute Dorn-Areas-Literals/Numbers numeric
@attribute Dorn-Areas-Operators/Numbers numeric
@attribute Dorn-Areas-Literals/Strings numeric
@attribute Dorn-Areas-Operators/Strings numeric
@attribute Dorn-Areas-Operators/Literals numeric
@attribute Dorn-align-blocks numeric
@attribute Dorn-align-extent numeric
@attribute Readable {0,1}

@data
0.882353,0,3.733333,10,0,0,0,1.434783,4,0,9.882353,29,6,0.833333,0,1,0,0.2,0.2,0.1,0.111111,0,6.333333,0.125,0,0.75,20.375,0,1.875,0,0,0.7,0.25,1.5,13,0,2,47,6,0,17,2,4.573299,195.04196,10,10,10,11,1,10,1,10,7,1,7,1,1,10,9,10,0,0,49.909091,9.901961,50,9.784314,0,0,0,0,0,0,49.727273,9.901961,0,0.489691,0.180412,0,0,0,0.108247,?,?,?,?,?,?,0.368421,0,0,0,0.221053,0,0,0,0.6,?,?,?,?,?,?,2,2,0
0.848485,0,5.357143,9,0,0.151515,1,2.078947,5,0,10.181818,37,5,0.833333,?,?,?,0.2,0.3,0,0.125,0.3,5.347826,0.428571,12.571429,0.571429,41.428571,0,2.714286,0.714286,0,1.2,1.142857,15.285714,11,16,1,66,6,1,107,4,3.934233,311.138365,10,10,1,12,8,8,8,8,8,1,10,10,1,9,9,8,0,0,66,10.597015,65.916667,10.850746,65.833333,10.865672,0,0,0,0,66,10.731343,0,0.431034,0.041379,0.010345,0,0,0.148276,?,?,?,?,?,?,0.096,0.024,0,0,0.344,0.25,0,0,3.583333,0,0,14.333333,?,?,?,8,8,1
0.805556,0,5.242424,9,0,0.083333,1,1.974359,7,0,6.444444,22,6,1,0,1,0,0.5,0,0.166667,0.142857,0.333333,7.2,0.333333,0,0.5,42.166667,0,3.833333,0.5,1,1.333333,0.333333,4.5,19,0,1,98,11,1,27,5,4.931106,282.026383,6,4,6,7,6,6,1,4,4,1,6,6,6,1,6,6,0,0,101,5.735294,101,5.794118,101,6,0,0,0,0,100.857143,5.676471,0,0.665441,0.040441,0.007353,0,0,0.117647,?,?,?,?,?,?,0.060773,0.01105,0,0,0.176796,0.181818,0,0,2.909091,0,0,16,?,?,?,2,2,0
0.875,0,7.142857,10,3,0.041667,1,1.576923,4,100,6.5,17,5,1,0,1,0,0.428571,0.076923,0.142857,0.538462,0,7.933333,0,7.333333,0.333333,34.833333,0,2.333333,0,0,0.428571,0,11,15,12,1,54,5,0,139,5,4.351532,129.657843,13,7,7,14,1,1,1,7,10,1,6,1,1,7,1,1,60.714286,12.974359,76.714286,12.910256,77,12.910256,0,0,0,0,0,0,76.714286,12.923077,0.58483,0.237525,0.017964,0,0,0,0.027944,0.406143,0.030717,0,0,0,0.047782,0.07563,0,0,0,0.117647,0,0,0,1.555556,?,?,?,?,?,?,15,22,1
0.882353,0,4.066667,15,0,0.176471,1,0.75,3,100,11.235294,45,5,1,0.641689,1,0.641689,0,0,0,0.3,0,7.181818,0.142857,7.428571,0.428571,24.714286,0,1.428571,0.142857,0,1.142857,0.428571,8.142857,20,12,2,46,3,1,73,2,4.266042,162.515745,9,1,1,10,1,7,1,7,6,1,5,7,1,7,5,1,25.8,8.903846,51,8.673077,51,8.769231,51,9,0,0,0,0,51,8.75,0.268085,0.33617,0.051064,0.004255,0,0,0.097872,1.253968,0.190476,0.015873,0,0,0.365079,0.151899,0.012658,0,0,0.291139,0.083333,0,0,1.916667,0,0,23,?,?,?,2,3,1
0.333333,0,3.2,6,0,0.133333,1,1,4,0,2.866667,15,3,0.75,0,1,0,0.5,0,0,0.2,0,6.222222,0.5,4,0.75,27.75,0,2,0.5,0,1.25,0,6.25,13,4,2,40,3,3,25,3,4.216993,96.211433,4,3,1,5,1,3,1,3,1,1,1,3,1,3,1,1,0,0,39.8,3.512195,40,3.853659,40,3,0,0,0,0,40,3.585366,0,0.504505,0.09009,0.054054,0,0,0.126126,?,?,?,?,?,?,0.178571,0.107143,0,0,0.25,0.6,0,0,1.4,0,0,2.333333,?,?,?,0,0,0
0.458333,0,4.5,7,0,0.541667,2,2.896552,8,100,4.791667,37,4,1,0,1,0,0.5,0.090909,0,0.545455,0,3.761905,0,3.2,1,36.2,0,3.2,1.2,0.666667,0.833333,1,7.6,11,4,2,56,8,14,71,8,4.754257,229.248125,11,6,1,12,1,1,6,6,9,1,6,6,6,5,6,6,68,10.884058,68,10.869565,68,10.927536,68,11,0,0,0,0,67.833333,10.782609,0.426752,0.27707,0.063694,0.031847,0,0,0.079618,0.649254,0.149254,0.074627,0,0,0.186567,0.229885,0.114943,0,0,0.287356,0.5,0,0,1.25,0,0,2.5,?,?,?,4,8,1
0.833333,0,3.863636,10,0,0,0,2.071429,4,0,9.166667,57,4,1,0,1,0,0.5,0,1.5,0.2,0,7.111111,0,0,1,46,0,4.5,0,0,1,0.75,3.5,16,0,3,100,9,0,22,5,4.667796,197.153388,4,4,4,5,1,1,1,4,4,1,4,1,1,4,4,4,0,0,100.8,3.882353,100.8,3.921569,0,0,0,0,0,0,101,3.833333,0,0.670157,0.109948,0,0,0,0.109948,?,?,?,?,?,?,0.164063,0,0,0,0.164063,0,0,0,1,?,?,?,?,?,?,5,5,0
0.833333,0,4.333333,9,0,0.333333,1,2.25,7,100,5.25,37,5,1,0,1,0,0.375,0.2,0,0.333333,0,5.777778,0,7.333333,0.666667,36.166667,0.166667,2.833333,0,0,1.25,0.666667,10.666667,15,12,2,56,5,0,87,3,4.241242,218.512149,10,8,1,11,1,1,7,8,7,8,7,1,1,6,8,7,29,9.875,79,9.9,79,9.825,0,0,0,0,0,0,78.818182,9.825,0.296417,0.338762,0.065147,0,0,0,0.091205,1.142857,0.21978,0,0,0,0.307692,0.192308,0,0,0,0.269231,0,0,0,1.4,?,?,?,?,?,?,2,3,1
0.794118,0,4.689655,11,0,0,0,0.272727,2,100,9.764706,37,7,1,0.267261,1,0.267261,0,0,0,0.083333,0,8.294118,0.090909,9.818182,0.818182,30.272727,0,1.545455,0.090909,0,0.818182,0.636364,10.090909,24,24,2,52,4,1,121,5,4.252186,269.211876,12,1,1,12,1,11,1,10,1,1,11,1,1,11,11,1,52,12,51.923077,11.679245,51.846154,11.698113,0,0,0,0,0,0,52,11.830189,0.038462,0.420118,0.12426,0,0,0,0.088757,10.923077,3.230769,0,0,0,2.307692,0.295775,0,0,0,0.211268,0,0,0,0.714286,?,?,?,?,?,?,18,19,1
