@relation DATASET_DORN

@attribute New-Identifiers-words-AVG numeric
@attribute New-Identifiers-words-MIN numeric
@attribute New-Abstractness-words-AVG numeric
@attribute New-Abstractness-words-MAX numeric
@attribute New-Abstractness-words-MIN numeric
@attribute New-Commented-words-AVG numeric
@attribute New-Commented-words-MAX numeric
@attribute New-Synonym-commented-words-AVG numeric
@attribute New-Synonym-commented-words-MAX numeric
@attribute New-Comments-readability numeric
@attribute New-Number-of-senses-AVG numeric
@attribute New-Number-of-senses-MAX numeric
@attribute New-Semantic-Text-Coherence-Standard-@-0.1 numeric
@attribute New-Semantic-Text-Coherence-Normalized-@-0.3 numeric
@attribute New-Text-Coherence-AVG numeric
@attribute New-Text-Coherence-MIN numeric
@attribute New-Text-Coherence-MAX numeric
@attribute BW-Avg-Assignment numeric
@attribute BW-Avg-blank-lines numeric
@attribute BW-Avg-commas numeric
@attribute BW-Avg-comments numeric
@attribute BW-Avg-comparisons numeric
@attribute BW-Avg-Identifiers-Length numeric
@attribute BW-Avg-conditionals numeric
@attribute BW-Avg-indentation-length numeric
@attribute BW-Avg-keywords numeric
@attribute BW-Avg-line-length numeric
@attribute BW-Avg-loops numeric
@attribute BW-Avg-number-of-identifiers numeric
@attribute BW-Avg-numbers numeric
@attribute BW-Avg-operators numeric
@attribute BW-Avg-parenthesis numeric
@attribute BW-Avg-periods numeric
@attribute BW-Avg-spaces numeric
@attribute BW-Max-Identifiers-Length numeric
@attribute BW-Max-indentation numeric
@attribute BW-Max-keywords numeric
@attribute BW-Max-line-length numeric
@attribute BW-Max-number-of-identifiers numeric
@attribute BW-Max-numbers numeric
@attribute BW-Max-char numeric
@attribute BW-Max-words numeric
@attribute Posnett-entropy numeric
@attribute Posnett-volume numeric
@attribute Posnett-lines numeric
@attribute Dorn-DFT-Assignments numeric
@attribute Dorn-DFT-Commas numeric
@attribute Dorn-DFT-Comments numeric
@attribute Dorn-DFT-Comparisons numeric
@attribute Dorn-DFT-Conditionals numeric
@attribute Dorn-DFT-Indentations numeric
@attribute Dorn-DFT-Keywords numeric
@attribute Dorn-DFT-LineLengths numeric
@attribute Dorn-DFT-Loops numeric
@attribute Dorn-DFT-Identifiers numeric
@attribute Dorn-DFT-Numbers numeric
@attribute Dorn-DFT-Operators numeric
@attribute Dorn-DFT-Parenthesis numeric
@attribute Dorn-DFT-Periods numeric
@attribute Dorn-DFT-Spaces numeric
@attribute Dorn-Visual-X-Comments numeric
@attribute Dorn-Visual-Y-Comments numeric
@attribute Dorn-Visual-X-Identifiers numeric
@attribute Dorn-Visual-Y-Identifiers numeric
@attribute Dorn-Visual-X-Keywords numeric
@attribute Dorn-Visual-Y-Keywords numeric
@attribute Dorn-Visual-X-Numbers numeric
@attribute Dorn-Visual-Y-Numbers numeric
@attribute Dorn-Visual-X-Strings numeric
@attribute Dorn-Visual-Y-Strings numeric
@attribute Dorn-Visual-X-Literals numeric
@attribute Dorn-Visual-Y-Literals numeric
@attribute Dorn-Visual-X-Operators numeric
@attribute Dorn-Visual-Y-Operators numeric
@attribute Dorn-Areas-Comments numeric
@attribute Dorn-Areas-Identifiers numeric
@attribute Dorn-Areas-Keywords numeric
@attribute Dorn-Areas-Numbers numeric
@attribute Dorn-Areas-Strings numeric
@attribute Dorn-Areas-Literals numeric
@attribute Dorn-Areas-Operators numeric
@attribute Dorn-Areas-Identifiers/Comments numeric
@attribute Dorn-Areas-Keywords/Comments numeric
@attribute Dorn-Areas-Numbers/Comments numeric
@attribute Dorn-Areas-Strings/Comments numeric
@attribute Dorn-Areas-Literals/Comments numeric
@attribute Dorn-Areas-Operators/Comments numeric
@attribute Dorn-Areas-Keywords/Identifiers numeric
@attribute Dorn-Areas-Numbers/Identifiers numeric
@attribute Dorn-Areas-Strings/Identifiers numeric
@attribute Dorn-Areas-Literals/Identifiers numeric
@attribute Dorn-Areas-Operators/Identifiers numeric
@attribute Dorn-Areas-Numbers/Keywords numeric
@attribute Dorn-Areas-Strings/Keywords numeric
@attribute Dorn-Areas-Literals/Keywords numeric
@attribute Dorn-Areas-Operators/Keywords numeric
@attribute Dorn-Areas-Strings/Numbers numeric
@attribute Dorn-Areas-Literals/Numbers numeric
@attribute Dorn-Areas-Operators/Numbers numeric
@attribute Dorn-Areas-Literals/Strings numeric
@attribute Dorn-Areas-Operators/Strings numeric
@attribute Dorn-Areas-Operators/Literals numeric
@attribute Dorn-align-blocks numeric
@attribute Dorn-align-extent numeric
@attribute Readable {0,1}

@data
0.864078,0,3.188889,9,0,0.067961,1,1.935484,8,0,11.15534,45,21,0.833333,0.380668,0.117851,1,0.16,0.2,0.02,0.02439,0.04,9.415094,0.1,0,0.525,18.8,0,1.325,0.025,0,0.66,0.25,1.375,21,0,2,50,4,1,75,8,4.71768,1004.606402,50,50,50,49,50,48,47,50,47,1,42,50,1,47,49,47,0,0,52.941176,49.648148,52.980392,49.722222,53,50,0,0,0,0,52.941176,49.851852,0,0.589835,0.107565,0.001182,0,0,0.125296,?,?,?,?,?,?,0.182365,0.002004,0,0,0.212425,0.010989,0,0,1.164835,0,0,106,?,?,?,19,20,1
0.754386,0,4.477273,10,0,0.087719,1,1.106667,5,100,8.245614,36,12,0.857143,0.477128,0.182574,0.985184,0.178571,0.166667,0,0.115385,0.071429,7.157895,0.086957,0,0.782609,20.73913,0.086957,1.478261,0.26087,0.214286,0.75,0.347826,1.652174,29,0,3,60,6,4,45,3,4.964542,649.850128,30,28,1,31,28,28,28,28,27,28,26,28,28,28,28,28,60,30,59.870968,29.704918,59.903226,29.754098,60,29.721311,60,29.934426,0,0,59.677419,29.819672,0.064784,0.398671,0.134551,0.011628,0.078073,0,0.106312,6.153846,2.076923,0.179487,1.205128,0,1.641026,0.3375,0.029167,0.195833,0,0.266667,0.08642,0.580247,0,0.790123,6.714286,0,9.142857,0,1.361702,?,5,6,0
0.820106,0,5.177215,11,0,0.042328,1,2.5,10,0,8.899471,37,28,0.78125,0,1,0,0.16,0.22,0.08,0.025,0.06,8.707965,0.128205,0,0.282051,32.589744,0,2.974359,0.051282,0.52,0.62,0.589744,2.076923,27,0,4,69,10,1,122,9,5.098974,1314,50,50,50,51,50,50,48,50,47,1,50,50,50,50,48,50,0,0,69.941176,49.746479,69.960784,49.704225,68.431373,49.619718,69.882353,49.816901,0,0,69.823529,49.802817,0,0.554208,0.028531,0.001427,0.184023,0,0.089872,?,?,?,?,?,?,0.05148,0.002574,0.332046,0,0.162162,0.05,6.45,0,3.15,129,0,63,0,0.488372,?,17,18,0
0.981132,0,7,10,0,0,0,2.551724,6,0,7.396226,45,5,0.666667,0.75,1,0.75,0.2,0.2,0.2,0.111111,0,14.95,0,0,0.625,46.75,0,2.5,0,0,0.7,0.375,2.875,34,0,2,111,6,0,56,9,4.559652,205.133854,10,10,10,10,1,1,9,10,9,1,9,1,1,9,10,10,0,0,112,9.769912,112,9.761062,0,0,112,10,0,0,111.818182,9.787611,0,0.704663,0.064767,0,0.085492,0,0.064767,?,?,?,?,?,?,0.091912,0,0.121324,0,0.091912,0,1.32,0,1,?,?,?,0,0.757576,?,7,7,1
0.857143,0,5,10,0,0,0,0.727273,2,100,5.428571,16,3,1,?,?,?,0,0.1,0,0.111111,0,6.333333,0.125,0,0.5,9.875,0,0.75,0.125,0,0.666667,0.25,0.625,9,0,2,30,2,4,10,1,4.461707,129.267675,10,1,1,11,1,9,1,9,9,1,7,9,1,8,9,9,0,0,42,9.697674,42,9.930233,42,10,42,10,0,0,41.909091,9.860465,0,0.308943,0.121951,0.03252,0.089431,0,0.154472,?,?,?,?,?,?,0.394737,0.105263,0.289474,0,0.5,0.266667,0.733333,0,1.266667,2.75,0,4.75,0,1.727273,?,0,0,1
0.752,0,4.772021,11,0,0.18,1,6.084249,22,100,6.316,45,32,0.9375,0.438124,0.102598,0.877058,0.229167,0.22,0.354167,0.026316,0.020833,9.284768,0.027027,0,0.621622,49.216216,0.027027,4.108108,0.162162,0.041667,0.875,1.243243,2.27027,29,0,8,220,11,1,181,15,4.929338,2078.919506,50,48,48,51,48,48,48,48,50,48,48,48,48,47,48,48,221,49.968468,220.960784,49.851351,220.901961,49.797297,221,50,220.980392,49.837838,0,0,220.843137,49.815315,0.053854,0.581522,0.054348,0.000494,0.136364,0,0.085474,10.798165,1.009174,0.009174,2.53211,0,1.587156,0.093458,0.00085,0.234494,0,0.146984,0.009091,2.509091,0,1.572727,276,0,173,0,0.626812,?,103,130,0
0.774194,0,3.92,11,0,0.129032,2,2.919118,11,0,6.137097,37,24,0.884615,0.427363,0.088045,0.956501,0.173913,0.2,0,0.027027,0.021739,7.348315,0.083333,0.083333,0.333333,25.694444,0.027778,2.444444,0.277778,0.043478,0.73913,0.5,1.277778,29,3,2,81,14,5,113,6,5.026046,1169.564338,50,46,1,51,46,46,32,46,49,46,45,46,46,46,45,46,0,0,88.960784,49.7,88.843137,49.6,89,49.944444,89,49.766667,0,0,88.960784,49.7,0,0.375887,0.037825,0.005516,0.310481,0,0.093775,?,?,?,?,?,?,0.100629,0.014675,0.825996,0,0.249476,0.145833,8.208333,0,2.479167,56.285714,0,17,0,0.30203,?,25,29,0
0.788235,0,3.9,9,0,0.035294,1,1.533981,11,100,8.741176,45,19,0.76,?,?,?,0.043478,0.14,0.130435,0.113636,0.021739,9.418605,0,0,0.461538,18.384615,0,1.282051,0.076923,0.391304,0.5,0.128205,1.897436,21,0,3,69,6,11,81,12,4.929574,840.253524,50,46,46,51,46,1,46,46,48,1,46,46,46,45,46,46,71,50,70.960784,49.875,70.980392,49.819444,70,50,70.980392,49.888889,0,0,70.882353,49.958333,0.050529,0.452409,0.128085,0.012926,0.07168,0,0.097532,8.953488,2.534884,0.255814,1.418605,0,1.930233,0.283117,0.028571,0.158442,0,0.215584,0.100917,0.559633,0,0.761468,5.545455,0,7.545455,0,1.360656,?,16,29,1
0.941176,0,5.5625,9,0,0.058824,1,1.833333,5,0,10.882353,37,5,1,?,?,?,0,0.2,0,0.111111,0,7.333333,0.125,0,0.875,19.625,0,1.5,0,0.1,0.7,0.25,1.75,24,0,2,61,4,0,17,3,4.832101,171.300379,10,1,1,9,1,10,8,8,8,1,9,1,10,10,10,8,0,0,63,9.75,62.818182,9.453125,0,0,63,7.65625,0,0,63,9.78125,0,0.444444,0.187135,0,0.093567,0,0.122807,?,?,?,?,?,?,0.421053,0,0.210526,0,0.276316,0,0.5,0,0.65625,?,?,?,0,1.3125,?,0,0,1
0.833333,0,4.77451,11,0,0.233333,2,3.940299,14,0,6.775,36,16,0.666667,0.448225,0.129099,1,0.152174,0.16,0.021739,0.025641,0.043478,7.094118,0.105263,0,0.368421,23.184211,0.052632,2.105263,0.210526,0.173913,0.847826,0.421053,1.184211,29,0,2,74,9,5,106,5,5.158774,1176.518697,50,46,46,51,45,45,45,45,50,45,46,45,46,45,46,45,0,0,76,49.805195,76,48.558442,76,48.428571,76,49.727273,0,0,75.901961,49.662338,0,0.403114,0.039792,0.012111,0.293253,0,0.114187,?,?,?,?,?,?,0.098712,0.030043,0.727468,0,0.283262,0.304348,7.369565,0,2.869565,24.214286,0,9.428571,0,0.389381,?,29,31,0
